article_id,status,held_reason,priority,version,owner,business_goal,content_goal,search_intent,buying_stage,persona,silo,parent_cluster,child_cluster,content_type,template,hub_url,target_collection,target_products,primary_cta,secondary_cta,primary_keyword,secondary_keywords,semantic_keywords,entities,tags,faqs,internal_links,external_references,image_requirements,video_requirements,schema_type,word_count_target,reading_time,review_frequency,last_reviewed,author_slug,working_title,shopify_handle,shopify_article_id,published_at,next_review_due,gate_status,panel_score,kpi_baseline_date,notes
CG-P4-01,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P4,,C,,/blogs/cake-guides/what-a-custom-cake-costs,cakes|wedding-cakes,,,,,,,,,,,,,,,,,24,,,Why hand-finished costs more than moulded,,,,,,,,
CG-P4-02,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P4,,C,,/blogs/cake-guides/what-a-custom-cake-costs,cakes|wedding-cakes,,,,,,,,,,,,,,,,,24,,,Where to spend and save on a wedding cake,,,,,,,,
CG-P4-03,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P4,,C,,/blogs/cake-guides/what-a-custom-cake-costs,cakes|wedding-cakes,,,,,,,,,,,,,,,,,24,,,What a full cake-and-decor setup costs,,,,,,,,
CG-P4-04,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P4,,C,,/blogs/cake-guides/what-a-custom-cake-costs,cakes|wedding-cakes,,,,,,,,,,,,,,,,,24,,,"How far ahead to order, by occasion",,,,,,,,
CG-P5-00,BACKLOG,,P0,0.1,navneet,,,,,,cake-guides,CG-P5,,P,,/pages/100-percent-eggless-bakery,cakes,,,,,,,,,,,,,,,,,12,,,What 100% eggless actually means in a bakery,,,,,,,,Strongest differentiating asset. MUST NOT outrank its hub page - highest risk pair in the map
CG-P5-01,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P5,,C,,/blogs/cake-guides/what-100-percent-eggless-means,cakes,,,,,,,,,,,,,,,,,24,,,How eggless sponge holds structure without egg,,,,,,,,
CG-P5-02,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P5,,C,,/blogs/cake-guides/what-100-percent-eggless-means,cakes,,,,,,,,,,,,,,,,,24,,,Why eggless cake is not drier,,,,,,,,
CG-P5-03,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P5,,C,,/blogs/cake-guides/what-100-percent-eggless-means,cakes,,,,,,,,,,,,,,,,,24,,,Running a fully eggless kitchen: no cross-contact,,,,,,,,
CG-P5-04,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P5,,C,,/blogs/cake-guides/what-100-percent-eggless-means,cakes,,,,,,,,,,,,,,,,,24,,,Eggless vs vegan: not the same thing,,,,,,,,
CG-P5-05,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P5,,C,,/blogs/cake-guides/what-100-percent-eggless-means,cakes,,,,,,,,,,,,,,,,,24,,,Ordering for guests with nut allergies,,,,,,,,
CG-P5-06,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P5,,C,,/blogs/cake-guides/what-100-percent-eggless-means,cakes,,,,,,,,,,,,,,,,,24,,,Eggless in Indian celebration culture,,,,,,,,
CG-P6-00,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P6,,P,,/pages/freshness-guarantee,designer-theme-cakes,,,,,,,,,,,,,,,,,12,,,"How to store, serve and keep a cake",,,,,,,,Hub page must publish in Phase 0.3 first
CG-P6-01,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P6,,C,,/blogs/cake-guides/how-to-store-and-serve-a-cake,designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,Refrigerating a cream cake properly,,,,,,,,
CG-P6-02,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P6,,C,,/blogs/cake-guides/how-to-store-and-serve-a-cake,designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,Transporting a cake in summer heat,,,,,,,,
CG-P6-03,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P6,,C,,/blogs/cake-guides/how-to-store-and-serve-a-cake,designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,"How long our cakes keep, by type",,,,,,,,
CG-P6-04,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P6,,C,,/blogs/cake-guides/how-to-store-and-serve-a-cake,designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,Cutting and serving a tiered cake,,,,,,,,
CG-P6-05,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P6,,C,,/blogs/cake-guides/how-to-store-and-serve-a-cake,designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,"Fondant, buttercream, whipped cream: what each does",,,,,,,,
CG-P6-06,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P6,,C,,/blogs/cake-guides/how-to-store-and-serve-a-cake,designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,Hand-painting on cake: technique and limits,,,,,,,,
CG-P6-07,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P6,,C,,/blogs/cake-guides/how-to-store-and-serve-a-cake,designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,Why hand-finished cakes vary from the photograph,,,,,,,,
CG-P6-08,HELD,photography,P3,0.1,navneet,,,,,,cake-guides,CG-P6,,C,,/blogs/cake-guides/how-to-store-and-serve-a-cake,designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,A day in the studio: order to doorstep,,,,,,,,Needs original photography AND author identity
CG-P7-00,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P7,,P,,/collections/wedding-cakes,wedding-cakes|showstopper-wedding-cake,,,,,,,,,,,,,,,,,12,,,"Ordering a wedding cake: tiers, servings, timing",,,,,,,,68 active. Conditional on Phase 0 reconciling the two wedding collections
CG-P7-01,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P7,,C,,/blogs/cake-guides/ordering-a-wedding-cake,wedding-cakes|showstopper-wedding-cake,,,,,,,,,,,,,,,,,24,,,How many tiers for how many guests,,,,,,,,
CG-P7-02,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P7,,C,,/blogs/cake-guides/ordering-a-wedding-cake,wedding-cakes|showstopper-wedding-cake,,,,,,,,,,,,,,,,,24,,,Booking lead time in wedding season,,,,,,,,
CG-P7-03,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P7,,C,,/blogs/cake-guides/ordering-a-wedding-cake,wedding-cakes|showstopper-wedding-cake,,,,,,,,,,,,,,,,,24,,,"Delivery, assembly and on-site setup",,,,,,,,
CG-P7-04,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P7,,C,,/blogs/cake-guides/ordering-a-wedding-cake,wedding-cakes|showstopper-wedding-cake,,,,,,,,,,,,,,,,,24,,,"Engagement, mehndi and sangeet cakes",,,,,,,,
CG-P7-05,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P7,,C,,/blogs/cake-guides/ordering-a-wedding-cake,wedding-cakes|showstopper-wedding-cake,,,,,,,,,,,,,,,,,24,,,Revolving and surprise cake setups,,,,,,,,
CG-P8-00,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P8,,P,,/collections/anniversary-cakes,anniversary-cakes,,,,,,,,,,,,,,,,,12,,,Choosing an anniversary cake by milestone,,,,,,,,83 active - the #2 product type
CG-P8-01,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P8,,C,,/blogs/cake-guides/choosing-an-anniversary-cake,anniversary-cakes,,,,,,,,,,,,,,,,,24,,,First anniversary: what people actually order,,,,,,,,
CG-P8-02,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P8,,C,,/blogs/cake-guides/choosing-an-anniversary-cake,anniversary-cakes,,,,,,,,,,,,,,,,,24,,,Silver and golden: scaling for a family gathering,,,,,,,,
CG-P8-03,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P8,,C,,/blogs/cake-guides/choosing-an-anniversary-cake,anniversary-cakes,,,,,,,,,,,,,,,,,24,,,Two-person celebrations: bento and small formats,,,,,,,,
CG-P8-04,BACKLOG,,P2,0.1,navneet,,,,,,cake-guides,CG-P8,,C,,/blogs/cake-guides/choosing-an-anniversary-cake,anniversary-cakes,,,,,,,,,,,,,,,,,24,,,"Personalising with names, dates and photos",,,,,,,,
ME-P1-00,BACKLOG,,P1,0.1,navneet,,,,,,meerut,ME-P1,,P,,/pages/cake-delivery-in-meerut,cakes,,,,,,,,,,,,,,,,,12,,,"Cake delivery in Meerut: areas, slots and timing",,,,,,,,HARD BLOCKED until Phase 0 clears the 8-URL delivery collision
ME-P1-01,BACKLOG,,P1,0.1,navneet,,,,,,meerut,ME-P1,,LO,,/blogs/meerut/cake-delivery-in-meerut,cakes,,,,,,,,,,,,,,,,,12,,,Same-day delivery: cut-offs and what is realistic,,,,,,,,
ME-P1-02,BACKLOG,,P1,0.1,navneet,,,,,,meerut,ME-P1,,LO,,/blogs/meerut/cake-delivery-in-meerut,cakes,,,,,,,,,,,,,,,,,12,,,Midnight delivery: how the surprise actually works,,,,,,,,
ME-P1-03,HELD,delivery-data,P2,0.1,navneet,,,,,,meerut,ME-P1,,LO,,/blogs/meerut/cake-delivery-in-meerut,cakes,,,,,,,,,,,,,,,,,12,,,Delivery to Civil Lines and Sadar Bazar,,,,,,,,Needs real window + fee band or it is a doorway page
ME-P1-04,HELD,delivery-data,P2,0.1,navneet,,,,,,meerut,ME-P1,,LO,,/blogs/meerut/cake-delivery-in-meerut,cakes,,,,,,,,,,,,,,,,,12,,,Delivery to Shastri Nagar and Ganga Nagar,,,,,,,,Needs real window + fee band or it is a doorway page
ME-P1-05,HELD,delivery-data,P2,0.1,navneet,,,,,,meerut,ME-P1,,LO,,/blogs/meerut/cake-delivery-in-meerut,cakes,,,,,,,,,,,,,,,,,12,,,Delivery to Pallavpuram and Modipuram,,,,,,,,Needs real window + fee band or it is a doorway page
ME-P1-06,HELD,delivery-data,P2,0.1,navneet,,,,,,meerut,ME-P1,,LO,,/blogs/meerut/cake-delivery-in-meerut,cakes,,,,,,,,,,,,,,,,,12,,,Delivery to Garh Road and Jagriti Vihar,,,,,,,,Needs real window + fee band or it is a doorway page
ME-P2-00,BACKLOG,,P1,0.1,navneet,,,,,,meerut,ME-P2,,P,,/pages/about-us,wedding-cakes|birthday-cakes,,,,,,,,,,,,,,,,,12,,,Planning a celebration in Meerut,,,,,,,,White space
ME-P2-01,BACKLOG,,P2,0.1,navneet,,,,,,meerut,ME-P2,,LO,,/blogs/meerut/planning-a-celebration-in-meerut,wedding-cakes|birthday-cakes,,,,,,,,,,,,,,,,,12,,,"Wedding and reception venues, and cake logistics",,,,,,,,
ME-P2-02,BACKLOG,,P2,0.1,navneet,,,,,,meerut,ME-P2,,LO,,/blogs/meerut/planning-a-celebration-in-meerut,wedding-cakes|birthday-cakes,,,,,,,,,,,,,,,,,12,,,Birthday party venues for kids,,,,,,,,
ME-P2-03,BACKLOG,,P2,0.1,navneet,,,,,,meerut,ME-P2,,LO,,/blogs/meerut/planning-a-celebration-in-meerut,wedding-cakes|birthday-cakes,,,,,,,,,,,,,,,,,12,,,Corporate events and bulk gifting in Meerut,,,,,,,,
ME-P2-04,BACKLOG,,P2,0.1,navneet,,,,,,meerut,ME-P2,,LO,,/blogs/meerut/planning-a-celebration-in-meerut,wedding-cakes|birthday-cakes,,,,,,,,,,,,,,,,,12,,,Ordering ahead for the Meerut festival calendar,,,,,,,,
ME-P3-00,BACKLOG,,P2,0.1,navneet,,,,,,meerut,ME-P3,,P,,/collections/luxury-diwali-hampers,cakes,,,,,,,,,,,,,,,,,12,,,Festival gifting calendar for Meerut,,,,,,,,Hamper inventory is 0 active - commercial destination is /collections/cakes
ME-P3-01,BACKLOG,,P2,0.1,navneet,,,,,,meerut,ME-P3,,S,,/blogs/meerut/festival-gifting-calendar,cakes,,,,,,,,,,,,,,,,,12,,,"Diwali hampers: ordering, timing, bulk",,,,,,,,"Calendar-anchored: live 6-8 weeks before peak. Refresh IN PLACE, never a new URL"
ME-P3-02,BACKLOG,,P2,0.1,navneet,,,,,,meerut,ME-P3,,S,,/blogs/meerut/festival-gifting-calendar,cakes,,,,,,,,,,,,,,,,,12,,,Rakhi gifting,,,,,,,,"Calendar-anchored: live 6-8 weeks before peak. Refresh IN PLACE, never a new URL"
ME-P3-03,BACKLOG,,P2,0.1,navneet,,,,,,meerut,ME-P3,,S,,/blogs/meerut/festival-gifting-calendar,cakes,,,,,,,,,,,,,,,,,12,,,Wedding-season ordering in Meerut,,,,,,,,"Calendar-anchored: live 6-8 weeks before peak. Refresh IN PLACE, never a new URL"
ME-P3-04,BACKLOG,,P2,0.1,navneet,,,,,,meerut,ME-P3,,S,,/blogs/meerut/festival-gifting-calendar,cakes,,,,,,,,,,,,,,,,,12,,,Christmas and New Year,,,,,,,,"Calendar-anchored: live 6-8 weeks before peak. Refresh IN PLACE, never a new URL"
ME-P3-05,BACKLOG,,P2,0.1,navneet,,,,,,meerut,ME-P3,,S,,/blogs/meerut/festival-gifting-calendar,cakes,,,,,,,,,,,,,,,,,12,,,Valentines,,,,,,,,"Calendar-anchored: live 6-8 weeks before peak. Refresh IN PLACE, never a new URL"
